posicion,etiqueta
01010010101,30557690101831001395
01010010102,30557690101831001379
01010010201,30557690101224001317
01010010202,30557690101224001290
01010010301,30557690101426001281
01010010302,30557690101426001237
01010010401,30557690100112001365
01010010402,30557690100112001028
01010010501,30557690101224001222
01010010502,30557690101224001203
01010010601,30557690101527001268
01010010602,30557690101527001053
01010010701,30557690100516001319
01010010702,30557690100516001248
01010010801,30557690101729001499
01010010802,30557690101729001303
01010020101,30557690101831001527
01010020102,30557690101831001441
01010020201,30557690101932001525
01010020202,30557690101932001387
01010020301,30557690100011001411
01010020302,30557690100011001315
01010020401,30557690101932001316
01010020402,30557690101932001254
01010020501,30557690101628001245
01010020502,30557690101628001206
01010020601,30557690101628001333
01010020602,30557690101628001257
01010020701,30557690100415001455
01010020702,30557690100415001324
01010020801,30557690101022001510
01010020802,30557690101022001389
01010030101,
01010030102,30557690101527001625
01010030201,30557690100213001576
01010030202,30557690100213001488
01010030301,30557690100617001512
01010030302,30557690100617001394
01010030401,30557690100718001443
01010030402,30557690100718001342
01010030501,30557690100314001447
01010030502,30557690100314001289
01010030601,30557690100516001452
01010030602,30557690100516001346
01010030701,30557690101224001585
01010030702,30557690101224001405
01010030801,30557690100819001627
01010030802,30557690100819001554
01010040101,
01010040102,30557690101325001716
01010040201,
01010040202,30557690101123001061
01010040301,
01010040302,30557690100718001581
01010040401,30557690101426001580
01010040402,30557690101426001413
01010040501,30557690101527001460
01010040502,30557690101527001356
01010040601,30557690101628001620
01010040602,30557690101628001426
01010040701,
01010040702,30557690100011001584
01010040801,30557690101831001694
01010040802,30557690101831001636
01010050101,
01010050102,
01010050201,
01010050202,
01010050301,
01010050302,30557690101932001646
01010050401,
01010050402,30557690100516001595
01010050501,30557690100112001483
01010050502,30557690100112001430
01010050601,30557690101022001662
01010050602,30557690101022001597
01010050701,
01010050702,30557690100617001673
01010050801,
01010050802,30557690100718001130
01010060101,
01010060102,
01010060201,
01010060202,
01010060301,
01010060302,
01010060401,
01010060402,30557690100112001676
01010060501,
01010060502,30557690100415001609
01010060601,
01010060602,30557690101729001680
01010060701,
01010060702,
01010060801,
01010060802,
01010070101,
01010070102,
01010070201,
01010070202,
01010070301,
01010070302,
01010070401,
01010070402,
01010070501,
01010070502,30557690100314001685
01010070601,
01010070602,
01010070701,
01010070702,
01010070801,
01010070802,
01010080101,
01010080102,
01010080201,
01010080202,
01010080301,
01010080302,
01010080401,
01010080402,
01010080501,
01010080502,
01010080601,
01010080602,
01010080701,
01010080702,
01010080801,
01010080802,
01010090101,
01010090102,
01010090201,
01010090202,
01010090301,
01010090302,
01010090401,
01010090402,30557690100617000995
01010090501,
01010090502,
01010090601,
01010090602,
01010090701,
01010090702,
01010090801,
01010090802,
01010100101,
01010100102,30557690101426000904
01010100201,
01010100202,
01010100301,
01010100302,
01010100401,
01010100402,
01010100501,
01010100502,
01010100601,
01010100602,
01010100701,
01010100702,30557690100213000900
01010100801,
01010100802,
01010110101,
01010110102,
01010110201,
01010110202,
01010110301,
01010110302,
01010110401,
01010110402,
01010110501,
01010110502,
01010110601,
01010110602,
01010110701,
01010110702,
01010110801,
01010110802,
01010120101,
01010120102,
01010120201,
01010120202,
01010120301,
01010120302,
01010120401,
01010120402,
01010120501,
01010120502,
01010120601,
01010120602,
01010120701,
01010120702,
01010120801,
01010120802,
01010130101,
01010130102,
01010130201,
01010130202,30557690101123000969
01010130301,
01010130302,
01010130401,
01010130402,
01010130501,
01010130502,
01010130601,
01010130602,
01010130701,
01010130702,
01010130801,
01010130802,
01010140101,
01010140102,
01010140201,
01010140202,
01010140301,
01010140302,
01010140401,
01010140402,
01010140501,
01010140502,
01010140601,
01010140602,
01010140701,
01010140702,
01010140801,
01010140802,
01010150101,
01010150102,
01010150201,
01010150202,30557690101022001051
01010150301,
01010150302,
01010150401,
01010150402,30557690100415001055
01010150501,
01010150502,
01010150601,
01010150602,
01010150701,
01010150702,
01010150801,
01010150802,
01010160101,
01010160102,
01010160201,
01010160202,30557690101426001034
01010160301,
01010160302,
01010160401,
01010160402,
01010160501,
01010160502,
01010160601,
01010160602,
01010160701,
01010160702,
01010160801,
01010160802,30557690101932000952
01010170101,
01010170102,
01010170201,
01010170202,
01010170301,
01010170302,
01010170401,
01010170402,
01010170501,
01010170502,
01010170601,
01010170602,
01010170701,
01010170702,
01010170801,
01010170802,30557690101325000868
01010180101,
01010180102,
01010180201,
01010180202,
01010180301,
01010180302,
01010180401,
01010180402,
01010180501,
01010180502,
01010180601,
01010180602,
01010180701,
01010180702,
01010180801,
01010180802,
01010190101,
01010190102,30557690101123000908
01010190201,
01010190202,
01010190301,
01010190302,
01010190401,
01010190402,
01010190501,
01010190502,
01010190601,
01010190602,
01010190701,
01010190702,
01010190801,
01010190802,
01010200101,
01010200102,30557690100819001060
01010200201,
01010200202,
01010200301,
01010200302,
01010200401,
01010200402,
01010200501,
01010200502,
01010200601,
01010200602,30557690101022000945
01010200701,
01010200702,
01010200801,
01010200802,
01010210101,
01010210102,30557690100921001144
01010210201,
01010210202,30557690100617000917
01010210301,
01010210302,
01010210401,
01010210402,
01010210501,
01010210502,
01010210601,
01010210602,
01010210701,
01010210702,
01010210801,
01010210802,
01010220101,
01010220102,
01010220201,
01010220202,
01010220301,
01010220302,
01010220401,
01010220402,
01010220501,
01010220502,
01010220601,
01010220602,30557690100617000875
01010220701,
01010220702,
01010220801,
01010220802,
01010230101,
01010230102,
01010230201,
01010230202,
01010230301,
01010230302,
01010230401,
01010230402,
01010230501,
01010230502,
01010230601,
01010230602,
01010230701,
01010230702,
01010230801,
01010230802,
01010240101,
01010240102,
01010240201,
01010240202,
01010240301,
01010240302,
01010240401,
01010240402,
01010240501,
01010240502,
01010240601,
01010240602,
01010240701,
01010240702,
01010240801,
01010240802,30557690101123001191
01010250101,
01010250102,
01010250201,
01010250202,
01010250301,
01010250302,
01010250401,
01010250402,
01010250501,
01010250502,
01010250601,
01010250602,
01010250701,
01010250702,
01010250801,
01010250802,
01010260101,
01010260102,
01010260201,
01010260202,
01010260301,
01010260302,
01010260401,
01010260402,
01010260501,
01010260502,30557690101123001078
01010260601,
01010260602,
01010260701,
01010260702,
01010260801,
01010260802,
01010270101,
01010270102,
01010270201,
01010270202,
01010270301,
01010270302,
01010270401,
01010270402,
01010270501,
01010270502,
01010270601,
01010270602,
01010270701,
01010270702,30557690100921001037
01010270801,
01010270802,
01010280101,
01010280102,
01010280201,
01010280202,
01010280301,
01010280302,
01010280401,
01010280402,
01010280501,
01010280502,
01010280601,
01010280602,
01010280701,
01010280702,
01010280801,
01010280802,
01010290101,
01010290102,
01010290201,
01010290202,30557690101831000924
01010290301,
01010290302,30557690100415001139
01010290401,
01010290402,
01010290501,
01010290502,
01010290601,
01010290602,
01010290701,
01010290702,
01010290801,
01010290802,
01010300101,
01010300102,
01010300201,
01010300202,
01010300301,
01010300302,
01010300401,
01010300402,
01010300501,
01010300502,
01010300601,
01010300602,
01010300701,
01010300702,
01010300801,
01010300802,
01010310101,
01010310102,
01010310201,
01010310202,
01010310301,
01010310302,
01010310401,
01010310402,
01010310501,
01010310502,
01010310601,
01010310602,
01010310701,
01010310702,
01010310801,
01010310802,
01010320101,
01010320102,
01010320201,
01010320202,
01010320301,
01010320302,
01010320401,
01010320402,
01010320501,
01010320502,30557690100921000934
01010320601,
01010320602,30557690101022000935
01010320701,
01010320702,
01010320801,
01010320802,
01010330101,
01010330102,
01010330201,
01010330202,30557690101527001041
01010330301,
01010330302,
01010330401,
01010330402,
01010330501,
01010330502,
01010330601,
01010330602,
01010330701,
01010330702,
01010330801,
01010330802,
01010340101,
01010340102,
01010340201,
01010340202,
01010340301,
01010340302,
01010340401,
01010340402,
01010340501,
01010340502,
01010340601,
01010340602,
01010340701,
01010340702,30557690100921001105
01010340801,
01010340802,
01010350101,
01010350102,
01010350201,
01010350202,
01010350301,
01010350302,
01010350401,
01010350402,
01010350501,
01010350502,
01010350601,
01010350602,
01010350701,
01010350702,
01010350801,
01010350802,
01010360101,
01010360102,
01010360201,
01010360202,
01010360301,
01010360302,
01010360401,
01010360402,
01010360501,
01010360502,
01010360601,
01010360602,
01010360701,
01010360702,
01010360801,
01010360802,30557690100011001049
01010370101,
01010370102,
01010370201,
01010370202,
01010370301,
01010370302,
01010370401,
01010370402,
01010370501,
01010370502,
01010370601,
01010370602,
01010370701,
01010370702,
01010370801,
01010370802,30557690101325000866
01010380101,
01010380102,
01010380201,
01010380202,
01010380301,
01010380302,
01010380401,
01010380402,
01010380501,
01010380502,
01010380601,
01010380602,
01010380701,
01010380702,
01010380801,
01010380802,
01010390101,
01010390102,
01010390201,
01010390202,
01010390301,
01010390302,
01010390401,
01010390402,30557690101426000851
01010390501,
01010390502,
01010390601,
01010390602,
01010390701,
01010390702,
01010390801,
01010390802,30557690101325000852
01010400101,
01010400102,
01010400201,
01010400202,
01010400301,
01010400302,
01010400401,
01010400402,
01010400501,
01010400502,
01010400601,
01010400602,
01010400701,
01010400702,
01010400801,
01010400802,
01010410101,
01010410102,30557690100718000885
01010410201,
01010410202,
01010410301,
01010410302,
01010410401,
01010410402,30557690100011001038
01010410501,
01010410502,
01010410601,
01010410602,
